candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
BTC-USD + USO,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,50.0,4000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + DBC,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,50.0,4000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLU,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,50.0,4000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLP,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,50.0,4000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLE,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,50.0,4000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + IEF,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,50.0,4000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + TLT,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,50.0,4000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + SHY,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,50.0,4000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLV,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,50.0,4000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO + XLU,commodity_energy|defensive,PASS,PASS,50.0,4000000.0,3837731.487247,162268.512753,"{""USO"": 12, ""XLU"": 29}",2,0.23801,0.184157,-0.35281,-0.22605,-0.032141,-0.024968,0.364272,0.332347,1.404444,1.641794,-0.00087,-0.000798,0.258598,0.380849,1.030114,0.856349,22.626561,35.928658,22.316462,7.1e-05,-0.122251,0.173765,0.173765,0.237351,16.899977,1652371122214.9956,0.22509,0.534287,0.576815,0.318895,0.721689,0.327885,0.421455,"Sharpe 개선, Stress 방어, MDD 개선","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""USO"": 15.5029, ""XLU"": 16.4782, ""__CASH__"": 1.3522}"
USO + XLP,commodity_energy|defensive,FAIL,FAIL: Stress 개선 미달,50.0,4000000.0,3743361.021813,256638.978187,"{""USO"": 12, ""XLP"": 15}",2,0.23801,0.183118,-0.35281,-0.216705,-0.032141,-0.025227,0.364272,0.32109,1.404444,1.589632,-0.00087,-0.000912,0.258598,0.381031,1.030114,0.849877,23.06289,38.57741,21.512125,-4.2e-05,-0.122433,0.180237,0.180237,0.185188,13.185848,1970411033369.56,0.147114,0.628371,0.418101,0.358566,0.579634,0.392282,0.374218,"MDD 개선, Sharpe 개선, Stress 방어","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""USO"": 15.5029, ""XLP"": 15.6918, ""__CASH__"": 2.1387}"
USO + IEF,bond|commodity_energy,PASS,PASS,50.0,4000000.0,3837614.328185,162385.671815,"{""USO"": 12, ""IEF"": 14}",2,0.23801,0.177367,-0.35281,-0.217579,-0.032141,-0.024306,0.364272,0.303252,1.404444,1.540598,-0.00087,-0.000725,0.258598,0.370644,1.030114,0.797152,25.479055,38.329861,24.377944,0.000145,-0.112046,0.232961,0.232961,0.136154,9.694539,1255579678910.7893,0.42494,0.619578,0.679863,0.681727,0.446101,0.247542,0.533777,"노출(beta/corr) 감소, Stress 방어, MDD 개선","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""USO"": 15.5029, ""IEF"": 16.4772, ""__CASH__"": 1.3532}"
USO + TLT,bond|commodity_energy,PASS,PASS,50.0,4000000.0,3799596.624766,200403.375234,"{""USO"": 12, ""TLT"": 15}",2,0.23801,0.178057,-0.35281,-0.23222,-0.032141,-0.024234,0.364272,0.298034,1.404444,1.50533,-0.00087,-0.000806,0.258598,0.378954,1.030114,0.797268,25.189392,34.179976,24.602147,6.4e-05,-0.120355,0.232846,0.232846,0.100887,7.183388,1970411033369.56,0.446676,0.472173,0.566347,0.68102,0.350056,0.392282,0.486762,"노출(beta/corr) 감소, Stress 방어, MDD 개선","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""USO"": 15.5029, ""TLT"": 16.1604, ""__CASH__"": 1.67}"
USO + SHY,bond|commodity_energy,PASS,PASS,50.0,4000000.0,3798600.830584,201399.169416,"{""USO"": 12, ""SHY"": 16}",2,0.23801,0.17757,-0.35281,-0.209812,-0.032141,-0.02444,0.364272,0.305652,1.404444,1.552358,-0.00087,-0.000709,0.258598,0.368297,1.030114,0.797795,25.39407,40.531101,23.961143,0.000161,-0.109699,0.232318,0.232318,0.147914,10.531846,534241832039.15826,0.384534,0.697766,0.702056,0.677788,0.478125,0.101485,0.535217,"Stress 방어, MDD 개선, 노출(beta/corr) 감소","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""USO"": 15.5029, ""SHY"": 16.1521, ""__CASH__"": 1.6783}"
USO + XLV,commodity_energy|defensive,PASS,PASS,50.0,4000000.0,3654614.049309,345385.950691,"{""USO"": 12, ""XLV"": 8}",2,0.23801,0.185052,-0.35281,-0.209357,-0.032141,-0.025524,0.364272,0.317524,1.404444,1.553748,-0.00087,-0.000624,0.258598,0.422324,1.030114,0.863617,22.250557,40.660164,20.586583,0.000246,-0.163726,0.166497,0.166497,0.149305,10.630866,1970411033369.56,0.057388,0.70235,0.82081,0.274346,0.481913,0.392282,0.419958,"Stress 방어, MDD 개선, Sharpe 개선","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""USO"": 15.5029, ""XLV"": 14.9522, ""__CASH__"": 2.8782}"
DBC + XLU,commodity_energy|defensive,FAIL,FAIL: Stress 개선 미달,50.0,4000000.0,3957935.164893,42064.835107,"{""DBC"": 49, ""XLU"": 29}",2,0.23801,0.178627,-0.35281,-0.218635,-0.032141,-0.024361,0.364272,0.315912,1.404444,1.600603,-0.00087,-0.001098,0.258598,0.43284,1.030114,0.84329,24.949651,38.030537,24.204954,-0.000228,-0.174241,0.186824,0.186824,0.19616,13.967076,33038140663.32702,0.40817,0.608946,0.158714,0.398939,0.609513,0.0,0.397237,"Sharpe 개선, MDD 개선, CVaR 개선","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""DBC"": 16.5046, ""XLU"": 16.4782, ""__CASH__"": 0.3505}"
