candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
BTC-USD + USO,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + DBC,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLU,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLP,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLE,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + IEF,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + TLT,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + SHY,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLV,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO + XLU,commodity_energy|defensive,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2827159.32295,172840.67705,"{""USO"": 9, ""XLU"": 21}",2,0.205068,0.174853,-0.190807,-0.169993,-0.025448,-0.022468,0.373135,0.347112,1.673272,1.81359,-0.000273,-0.000359,0.162454,0.248837,0.760965,0.700614,14.734084,10.908695,11.709103,-8.6e-05,-0.086383,0.060351,0.060351,0.140318,8.385824,1652371122214.9956,0.056105,0.076768,0.5802,0.354388,0.629527,0.327885,0.265816,"Sharpe 개선, Stress 방어, 노출(beta/corr) 감소","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""USO"": 10.7328, ""XLU"": 11.0146, ""__CASH__"": 1.3295}"
USO + XLP,commodity_energy|defensive,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2776137.174515,223862.825485,"{""USO"": 9, ""XLP"": 11}",2,0.205068,0.174267,-0.190807,-0.158974,-0.025448,-0.022459,0.373135,0.339745,1.673272,1.777415,-0.000273,-0.000437,0.162454,0.248017,0.760965,0.697002,15.019847,16.68358,11.746302,-0.000164,-0.085563,0.063963,0.063963,0.104142,6.223882,1970411033369.56,0.060627,0.424895,0.423119,0.387913,0.48129,0.392282,0.297357,"Sharpe 개선, MDD 개선, Stress 방어","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""USO"": 10.7328, ""XLP"": 10.6221, ""__CASH__"": 1.722}"
