candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
GLD + SHY,bond|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1668939.2581,331060.7419,"{""GLD"": 1, ""SHY"": 8}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""GLD"": 5.3832, ""SHY"": 7.4548, ""__CASH__"": 2.5466}"
GLD + XLV,defensive|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1596945.867462,403054.132538,"{""GLD"": 1, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""GLD"": 5.3832, ""XLV"": 6.901, ""__CASH__"": 3.1004}"
BTC-USD + USO,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,18.181818,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + DBC,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,18.181818,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLU,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,18.181818,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLP,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,18.181818,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLE,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,18.181818,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + IEF,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,18.181818,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + TLT,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,18.181818,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + SHY,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,18.181818,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLV,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,18.181818,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO + XLU,commodity_energy|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1884772.881966,115227.118034,"{""USO"": 6, ""XLU"": 14}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""USO"": 7.1552, ""XLU"": 7.3431, ""__CASH__"": 0.8864}"
USO + XLP,commodity_energy|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1808913.327217,191086.672783,"{""USO"": 6, ""XLP"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""USO"": 7.1552, ""XLP"": 6.7595, ""__CASH__"": 1.4699}"
USO + IEF,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1918807.164092,81192.835908,"{""USO"": 6, ""IEF"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""USO"": 7.1552, ""IEF"": 7.6049, ""__CASH__"": 0.6246}"
USO + TLT,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1835156.608595,164843.391405,"{""USO"": 6, ""TLT"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""USO"": 7.1552, ""TLT"": 6.9614, ""__CASH__"": 1.268}"
USO + SHY,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1899300.415292,100699.584708,"{""USO"": 6, ""SHY"": 8}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""USO"": 7.1552, ""SHY"": 7.4548, ""__CASH__"": 0.7746}"
USO + XLV,commodity_energy|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1827307.024655,172692.975345,"{""USO"": 6, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""USO"": 7.1552, ""XLV"": 6.901, ""__CASH__"": 1.3284}"
DBC + XLU,commodity_energy|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1924665.03519,75334.96481,"{""DBC"": 24, ""XLU"": 14}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""DBC"": 7.462, ""XLU"": 7.3431, ""__CASH__"": 0.5795}"
DBC + XLP,commodity_energy|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1848805.480441,151194.519559,"{""DBC"": 24, ""XLP"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""DBC"": 7.462, ""XLP"": 6.7595, ""__CASH__"": 1.163}"
DBC + IEF,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1958699.317316,41300.682684,"{""DBC"": 24, ""IEF"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""DBC"": 7.462, ""IEF"": 7.6049, ""__CASH__"": 0.3177}"
DBC + TLT,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1875048.761818,124951.238182,"{""DBC"": 24, ""TLT"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""DBC"": 7.462, ""TLT"": 6.9614, ""__CASH__"": 0.9612}"
DBC + SHY,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1939192.568515,60807.431485,"{""DBC"": 24, ""SHY"": 8}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""DBC"": 7.462, ""SHY"": 7.4548, ""__CASH__"": 0.4677}"
DBC + XLV,commodity_energy|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1867199.177878,132800.822122,"{""DBC"": 24, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""DBC"": 7.462, ""XLV"": 6.901, ""__CASH__"": 1.0215}"
XLU + XLE,commodity_energy|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1931694.455903,68305.544097,"{""XLU"": 14, ""XLE"": 12}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLU"": 7.3431, ""XLE"": 7.5161, ""__CASH__"": 0.5254}"
XLU + IEF,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1943234.534924,56765.465076,"{""XLU"": 14, ""IEF"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLU"": 7.3431, ""IEF"": 7.6049, ""__CASH__"": 0.4367}"
XLU + TLT,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1859583.979427,140416.020573,"{""XLU"": 14, ""TLT"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLU"": 7.3431, ""TLT"": 6.9614, ""__CASH__"": 1.0801}"
XLU + SHY,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1923727.786124,76272.213876,"{""XLU"": 14, ""SHY"": 8}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLU"": 7.3431, ""SHY"": 7.4548, ""__CASH__"": 0.5867}"
XLP + XLE,commodity_energy|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1855834.901154,144165.098846,"{""XLP"": 7, ""XLE"": 12}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLP"": 6.7595, ""XLE"": 7.5161, ""__CASH__"": 1.109}"
XLP + IEF,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1867374.980175,132625.019825,"{""XLP"": 7, ""IEF"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLP"": 6.7595, ""IEF"": 7.6049, ""__CASH__"": 1.0202}"
XLP + TLT,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1783724.424678,216275.575322,"{""XLP"": 7, ""TLT"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLP"": 6.7595, ""TLT"": 6.9614, ""__CASH__"": 1.6637}"
XLP + SHY,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1847868.231375,152131.768625,"{""XLP"": 7, ""SHY"": 8}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLP"": 6.7595, ""SHY"": 7.4548, ""__CASH__"": 1.1702}"
XLE + IEF,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1965728.738029,34271.261971,"{""XLE"": 12, ""IEF"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLE"": 7.5161, ""IEF"": 7.6049, ""__CASH__"": 0.2636}"
XLE + TLT,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1882078.182532,117921.817468,"{""XLE"": 12, ""TLT"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLE"": 7.5161, ""TLT"": 6.9614, ""__CASH__"": 0.9071}"
XLE + SHY,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1946221.989229,53778.010771,"{""XLE"": 12, ""SHY"": 8}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLE"": 7.5161, ""SHY"": 7.4548, ""__CASH__"": 0.4137}"
XLE + XLV,commodity_energy|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1874228.598591,125771.401409,"{""XLE"": 12, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLE"": 7.5161, ""XLV"": 6.901, ""__CASH__"": 0.9675}"
IEF + XLV,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1885768.677613,114231.322387,"{""IEF"": 7, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""IEF"": 7.6049, ""XLV"": 6.901, ""__CASH__"": 0.8787}"
TLT + XLV,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1802118.122115,197881.877885,"{""TLT"": 7, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""TLT"": 6.9614, ""XLV"": 6.901, ""__CASH__"": 1.5222}"
SHY + XLV,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1866261.928812,133738.071188,"{""SHY"": 8, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""SHY"": 7.4548, ""XLV"": 6.901, ""__CASH__"": 1.0288}"
IAU + GLD + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - GLD 1주 매수 불가,18.181818,2000000.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + GLD + USO,commodity_energy|gold,FAIL,FAIL: 예산 부족 - GLD 1주 매수 불가,18.181818,2000000.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + GLD + DBC,commodity_energy|gold,FAIL,FAIL: 예산 부족 - GLD 1주 매수 불가,18.181818,2000000.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + GLD + XLU,defensive|gold,FAIL,FAIL: 예산 부족 - GLD 1주 매수 불가,18.181818,2000000.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + GLD + XLP,defensive|gold,FAIL,FAIL: 예산 부족 - GLD 1주 매수 불가,18.181818,2000000.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + GLD + XLE,commodity_energy|gold,FAIL,FAIL: 예산 부족 - GLD 1주 매수 불가,18.181818,2000000.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + GLD + IEF,bond|gold,FAIL,FAIL: 예산 부족 - GLD 1주 매수 불가,18.181818,2000000.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + GLD + TLT,bond|gold,FAIL,FAIL: 예산 부족 - GLD 1주 매수 불가,18.181818,2000000.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + GLD + SHY,bond|gold,FAIL,FAIL: 예산 부족 - GLD 1주 매수 불가,18.181818,2000000.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + GLD + XLV,defensive|gold,FAIL,FAIL: 예산 부족 - GLD 1주 매수 불가,18.181818,2000000.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + BTC-USD + USO,commodity_energy|crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,18.181818,2000000.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
