candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
XLE + SHY,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1946221.989229,53778.010771,"{""XLE"": 12, ""SHY"": 8}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""XLE"": 6.9792, ""SHY"": 6.9223, ""__CASH__"": 0.3841}"
XLE + XLV,commodity_energy|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1874228.598591,125771.401409,"{""XLE"": 12, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""XLE"": 6.9792, ""XLV"": 6.4081, ""__CASH__"": 0.8984}"
XLE + ETH-USD,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,16.666667,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IEF + XLV,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1885768.677613,114231.322387,"{""IEF"": 7, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""IEF"": 7.0617, ""XLV"": 6.4081, ""__CASH__"": 0.8159}"
IEF + ETH-USD,bond|crypto,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,16.666667,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
TLT + XLV,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1802118.122115,197881.877885,"{""TLT"": 7, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""TLT"": 6.4642, ""XLV"": 6.4081, ""__CASH__"": 1.4134}"
TLT + ETH-USD,bond|crypto,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,16.666667,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
SHY + XLV,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1866261.928812,133738.071188,"{""SHY"": 8, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""SHY"": 6.9223, ""XLV"": 6.4081, ""__CASH__"": 0.9553}"
SHY + ETH-USD,bond|crypto,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,16.666667,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
XLV + ETH-USD,crypto|defensive,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,16.666667,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
