candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
BTC-USD + DBC,commodity_energy|crypto,PASS,PASS,10.0,,,,,2,0.205068,0.195998,-0.190808,-0.184225,-0.025448,-0.024485,0.373135,0.354019,1.673272,1.653175,-0.000273,-9e-06,0.162454,0.278912,0.760965,0.758101,4.423159,3.450014,3.782201,0.000264,-0.116458,0.002865,0.002865,-0.020097,-1.201074,33038140663.32702,0.179981,0.51596,0.433221,0.227955,0.410068,0.0,0.316632,"MDD 개선, Stress 방어, Sharpe 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""BTC-USD"": 5.0, ""DBC"": 5.0}"
BTC-USD + XLU,crypto|defensive,FAIL,FAIL: MDD 개선 미달; beta/corr 감소 미달,10.0,,,,,2,0.205068,0.195376,-0.190808,-0.190842,-0.025448,-0.024272,0.373135,0.355245,1.673272,1.664716,-0.000273,9.3e-05,0.162454,0.286391,0.760965,0.765628,4.726527,-0.017809,4.618786,0.000366,-0.123937,-0.004662,-0.004662,-0.008556,-0.511344,1652371122214.9956,0.21207,0.457454,0.491172,0.192458,0.428642,0.137726,0.332946,"Stress 방어, MDD 개선, Sharpe 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""BTC-USD"": 5.0, ""XLU"": 5.0}"
BTC-USD + XLP,crypto|defensive,FAIL,FAIL: beta/corr 감소 미달,10.0,,,,,2,0.205068,0.195262,-0.190808,-0.186724,-0.025448,-0.024289,0.373135,0.352224,1.673272,1.650212,-0.000273,5.5e-05,0.162454,0.287694,0.760965,0.764943,4.781811,2.140333,4.554135,0.000329,-0.12524,-0.003978,-0.003978,-0.02306,-1.378143,2488623226120.116,0.20959,0.493864,0.469896,0.195685,0.4053,0.20885,0.33665,"MDD 개선, Stress 방어, Sharpe 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""BTC-USD"": 5.0, ""XLP"": 5.0}"
BTC-USD + XLE,commodity_energy|crypto,FAIL,FAIL: beta/corr 감소 미달,10.0,,,,,2,0.205068,0.197868,-0.190808,-0.183092,-0.025448,-0.024725,0.373135,0.359437,1.673272,1.664932,-0.000273,6.2e-05,0.162454,0.283347,0.760965,0.776122,3.511164,4.043622,2.840193,0.000335,-0.120894,-0.015157,-0.015157,-0.00834,-0.498441,3906806842509.893,0.143849,0.525974,0.47336,0.142964,0.428989,0.329469,0.323883,"MDD 개선, Stress 방어, Sharpe 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""BTC-USD"": 5.0, ""XLE"": 5.0}"
BTC-USD + IEF,bond|crypto,PASS,PASS,10.0,,,,,2,0.205068,0.193611,-0.190808,-0.18439,-0.025448,-0.023981,0.373135,0.346157,1.673272,1.632954,-0.000273,0.000115,0.162454,0.282404,0.760965,0.747666,5.587246,3.363467,5.764604,0.000389,-0.11995,0.013299,0.013299,-0.040318,-2.409544,1255579678910.7893,0.25602,0.514499,0.503848,0.277165,0.377526,0.103979,0.363945,"MDD 개선, Stress 방어, Sharpe 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""BTC-USD"": 5.0, ""IEF"": 5.0}"
BTC-USD + TLT,bond|crypto,PASS,PASS,10.0,,,,,2,0.205068,0.193541,-0.190808,-0.189306,-0.025448,-0.023925,0.373135,0.344639,1.673272,1.625698,-0.000273,9e-05,0.162454,0.284602,0.760965,0.747889,5.621396,0.786787,5.983876,0.000363,-0.122148,0.013077,0.013077,-0.047574,-2.843181,4971757111657.575,0.264431,0.471028,0.489556,0.276115,0.365849,0.420044,0.369866,"Stress 방어, MDD 개선, 유동성 양호","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""BTC-USD"": 5.0, ""TLT"": 5.0}"
BTC-USD + SHY,bond|crypto,PASS,PASS,10.0,,,,,2,0.205068,0.193731,-0.190808,-0.181145,-0.025448,-0.024019,0.373135,0.346992,1.673272,1.636247,-0.000273,0.00012,0.162454,0.282441,0.760965,0.748057,5.528406,5.063864,5.612408,0.000393,-0.119987,0.012908,0.012908,-0.037026,-2.212779,534241832039.15826,0.250182,0.543187,0.506577,0.275322,0.382825,0.042628,0.365463,"MDD 개선, Stress 방어, Sharpe 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""BTC-USD"": 5.0, ""SHY"": 5.0}"
BTC-USD + XLV,crypto|defensive,FAIL,FAIL: beta/corr 감소 미달,10.0,,,,,2,0.205068,0.196003,-0.190808,-0.185279,-0.025448,-0.024415,0.373135,0.351496,1.673272,1.64026,-0.000273,0.000149,0.162454,0.300117,0.760965,0.770864,4.420606,2.897567,4.057482,0.000422,-0.137663,-0.009899,-0.009899,-0.033012,-1.972924,2989320532229.1396,0.19054,0.506639,0.522674,0.167761,0.389284,0.251435,0.340828,"Stress 방어, MDD 개선, Sharpe 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""BTC-USD"": 5.0, ""XLV"": 5.0}"
USO + XLU,commodity_energy|defensive,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.190948,-0.190808,-0.181886,-0.025448,-0.024036,0.373135,0.364207,1.673272,1.75025,-0.000273,-0.000315,0.162454,0.202051,0.760965,0.73784,6.885494,4.67553,5.546383,-4.1e-05,-0.039597,0.023125,0.023125,0.076977,4.600411,1652371122214.9956,0.24765,0.536635,0.260542,0.323504,0.566294,0.137726,0.341979,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""USO"": 5.0, ""XLU"": 5.0}"
USO + XLP,commodity_energy|defensive,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.190863,-0.190808,-0.177093,-0.025448,-0.024047,0.373135,0.361159,1.673272,1.735062,-0.000273,-0.000352,0.162454,0.202689,0.760965,0.737156,6.927201,7.187663,5.504893,-7.9e-05,-0.040235,0.023809,0.023809,0.061789,3.692723,1970411033369.56,0.246058,0.579017,0.239266,0.326731,0.541852,0.164776,0.344874,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""USO"": 5.0, ""XLP"": 5.0}"
USO + IEF,bond|commodity_energy,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.189219,-0.190808,-0.174644,-0.025448,-0.023727,0.373135,0.35504,1.673272,1.717798,-0.000273,-0.000292,0.162454,0.197504,0.760965,0.719879,7.728795,8.470995,6.761198,-1.9e-05,-0.03505,0.041086,0.041086,0.044526,2.660998,1255579678910.7893,0.294246,0.600668,0.273218,0.408211,0.514069,0.103979,0.37519,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""USO"": 5.0, ""IEF"": 5.0}"
USO + TLT,bond|commodity_energy,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.189076,-0.190808,-0.176292,-0.025448,-0.023655,0.373135,0.35353,1.673272,1.711114,-0.000273,-0.000318,0.162454,0.199928,0.760965,0.720102,7.798786,7.607524,7.046217,-4.4e-05,-0.037474,0.040864,0.040864,0.037842,2.261537,1970411033369.56,0.305179,0.586101,0.258926,0.407161,0.503312,0.164776,0.375104,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""USO"": 5.0, ""TLT"": 5.0}"
USO + SHY,bond|commodity_energy,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.189389,-0.190808,-0.171643,-0.025448,-0.023768,0.373135,0.355869,1.673272,1.720632,-0.000273,-0.000287,0.162454,0.197679,0.760965,0.72027,7.64597,10.043839,6.60117,-1.4e-05,-0.035225,0.040695,0.040695,0.047359,2.830347,534241832039.15826,0.288108,0.627204,0.275947,0.406368,0.518629,0.042628,0.376099,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""USO"": 5.0, ""SHY"": 5.0}"
USO + XLV,commodity_energy|defensive,PASS,PASS,10.0,,,,,2,0.205068,0.191538,-0.190808,-0.176051,-0.025448,-0.024137,0.373135,0.360447,1.673272,1.725232,-0.000273,-0.000259,0.162454,0.216001,0.760965,0.743077,6.59807,7.733919,5.151263,1.4e-05,-0.053547,0.017888,0.017888,0.05196,3.105272,1970411033369.56,0.232494,0.588233,0.292043,0.298807,0.526032,0.164776,0.348151,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""USO"": 5.0, ""XLV"": 5.0}"
