candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
BTC-USD + TLT,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + SHY,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLV,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
DBC + XLU,commodity_energy|defensive,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1924665.03519,75334.96481,"{""DBC"": 24, ""XLU"": 14}",2,0.356086,0.315346,-0.345884,-0.307999,-0.05089,-0.045181,0.285314,0.276997,0.717,0.783256,-0.000878,-0.000956,0.144387,0.170916,0.515375,0.505725,11.441093,10.953081,11.218392,-7.7e-05,-0.026529,0.00965,0.00965,0.066257,9.240801,33038140663.32702,0.036307,0.004481,0.145599,0.423951,0.446414,0.0,0.12976,"Sharpe 개선, 노출(beta/corr) 감소, Stress 방어","{""USO"": 83.3333, ""DBC"": 8.0839, ""XLU"": 7.955, ""__CASH__"": 0.6278}"
DBC + XLP,commodity_energy|defensive,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1848805.480441,151194.519559,"{""DBC"": 24, ""XLP"": 7}",2,0.356086,0.314695,-0.345884,-0.306368,-0.05089,-0.044986,0.285314,0.272011,0.717,0.769033,-0.000878,-0.001006,0.144387,0.168799,0.515375,0.500935,11.623922,11.424722,11.600946,-0.000127,-0.024412,0.01444,0.01444,0.052033,7.257055,33038140663.32702,0.11064,0.075258,0.0,0.48145,0.317877,0.0,0.133708,"노출(beta/corr) 감소, Sharpe 개선, CVaR 개선","{""USO"": 83.3333, ""DBC"": 8.0839, ""XLP"": 7.3228, ""__CASH__"": 1.26}"
DBC + IEF,bond|commodity_energy,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1958699.317316,41300.682684,"{""DBC"": 24, ""IEF"": 7}",2,0.356086,0.313818,-0.345884,-0.307252,-0.05089,-0.044846,0.285314,0.263585,0.717,0.744333,-0.000878,-0.000931,0.144387,0.168161,0.515375,0.47812,11.870299,11.169193,11.875929,-5.2e-05,-0.023774,0.037256,0.037256,0.027333,3.81215,33038140663.32702,0.164071,0.036912,0.217589,0.755325,0.094664,0.0,0.193324,"노출(beta/corr) 감소, Stress 방어, CVaR 개선","{""USO"": 83.3333, ""DBC"": 8.0839, ""IEF"": 8.2386, ""__CASH__"": 0.3442}"
DBC + TLT,bond|commodity_energy,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1875048.761818,124951.238182,"{""DBC"": 24, ""TLT"": 7}",2,0.356086,0.312702,-0.345884,-0.308102,-0.05089,-0.044668,0.285314,0.259479,0.717,0.733858,-0.000878,-0.000981,0.144387,0.169023,0.515375,0.477195,12.183679,10.923218,12.22629,-0.000103,-0.024636,0.03818,0.03818,0.016858,2.351183,33038140663.32702,0.23215,0.0,0.071413,0.766422,0.0,0.0,0.172177,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""USO"": 83.3333, ""DBC"": 8.0839, ""TLT"": 7.5415, ""__CASH__"": 1.0413}"
DBC + SHY,bond|commodity_energy,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1939192.568515,60807.431485,"{""DBC"": 24, ""SHY"": 8}",2,0.356086,0.314587,-0.345884,-0.307902,-0.05089,-0.045017,0.285314,0.265707,0.717,0.749258,-0.000878,-0.000916,0.144387,0.168051,0.515375,0.478468,11.654241,10.981166,11.54177,-3.7e-05,-0.023664,0.036908,0.036908,0.032259,4.499159,33038140663.32702,0.099142,0.008696,0.261898,0.751146,0.139179,0.0,0.177851,"노출(beta/corr) 감소, Stress 방어, Sharpe 개선","{""USO"": 83.3333, ""DBC"": 8.0839, ""SHY"": 8.0761, ""__CASH__"": 0.5067}"
DBC + XLV,commodity_energy|defensive,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1867199.177878,132800.822122,"{""DBC"": 24, ""XLV"": 4}",2,0.356086,0.314482,-0.345884,-0.306255,-0.05089,-0.045097,0.285314,0.271571,0.717,0.768155,-0.000878,-0.000883,0.144387,0.17725,0.515375,0.510761,11.683731,11.457216,11.383499,-4e-06,-0.032863,0.004614,0.004614,0.051156,7.134695,33038140663.32702,0.068388,0.080134,0.357357,0.363497,0.309949,0.0,0.178779,"노출(beta/corr) 감소, Stress 방어, Sharpe 개선","{""USO"": 83.3333, ""DBC"": 8.0839, ""XLV"": 7.4761, ""__CASH__"": 1.1067}"
DBC + ETH-USD,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
