ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,corr_sp500_60d,corr_kospi200_60d,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,avg_stress_ret_krw,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
NVDA,us_stock,USD,0.516844,-0.230688,-0.03851,-0.055831,1.921703,1.814057,0.675106,-0.236312,0.000537,47369431458228.39,0.516844,-0.230688,-0.03851,-0.055831,1.921703,1.814057,0.675106,-0.236312,0.000537,0.699133,1.570813,20260310
PFE,us_stock,USD,0.263684,-0.193853,-0.030337,-0.038883,0.500613,0.5252,0.444905,-0.260555,0.000174,1791787286886.3247,0.263684,-0.193853,-0.030337,-0.038883,0.500613,0.5252,0.444905,-0.260555,0.000174,0.126916,0.342968,20260310
PG,us_stock,USD,0.195138,-0.201738,-0.020302,-0.031851,0.438076,0.472132,0.173594,-0.328307,-0.001922,2453720880243.1465,0.195138,-0.201738,-0.020302,-0.031851,0.438076,0.472132,0.173594,-0.328307,-0.001922,-0.061059,-0.432518,20260310
PPA,etf,USD,0.194982,-0.139894,-0.02036,-0.033279,0.84277,0.828919,0.715659,-0.144385,0.000589,72171108022.0799,0.194982,-0.139894,-0.02036,-0.033279,0.84277,0.828919,0.715659,-0.144385,0.000589,0.635442,2.611639,20260310
QQQ,etf,USD,0.230051,-0.152563,-0.021462,-0.036458,1.20483,1.19336,0.954686,-0.442628,0.000471,54195880999696.78,0.230051,-0.152563,-0.021462,-0.036458,1.20483,1.19336,0.954686,-0.442628,0.000471,0.286642,1.06939,20260310
SHY,bond_etf,USD,0.097185,-0.088438,-0.008058,-0.016704,0.204193,0.196612,0.674242,-0.57012,0.000232,532876567237.4225,0.097185,-0.088438,-0.008058,-0.016704,0.204193,0.196612,0.674242,-0.57012,0.000232,0.069232,0.385525,20260310
SOL-USD,crypto,USD,0.890048,-0.673184,-0.062619,-0.089567,1.639474,1.376815,0.584468,-0.147628,0.013669,686450265662621.8,0.890048,-0.673184,-0.062619,-0.089567,1.639474,1.376815,0.584468,-0.147628,0.013669,-0.393088,-0.646603,20260310
SPY,etf,USD,0.180405,-0.134191,-0.019522,-0.033182,1.0,1.0,1.0,-0.456604,0.00059,83486809973659.5,0.180405,-0.134191,-0.019522,-0.033182,1.0,1.0,1.0,-0.456604,0.00059,0.232153,0.988492,20260310
TIP,bond_etf,USD,0.107811,-0.092381,-0.008488,-0.016535,0.238632,0.218856,0.674327,-0.52359,-0.000452,426448864177.71747,0.107811,-0.092381,-0.008488,-0.016535,0.238632,0.218856,0.674327,-0.52359,-0.000452,0.083439,0.515217,20260310
TLT,bond_etf,USD,0.176107,-0.140377,-0.012688,-0.020434,0.200775,0.118926,0.566962,-0.497471,-0.000621,4967457365765.731,0.176107,-0.140377,-0.012688,-0.020434,0.200775,0.118926,0.566962,-0.497471,-0.000621,0.056598,0.195519,20260310
TSLA,us_stock,USD,0.59802,-0.234485,-0.051481,-0.079215,1.806537,1.79046,0.592445,-0.244082,-0.002338,41663032830669.88,0.59802,-0.234485,-0.051481,-0.079215,1.806537,1.79046,0.592445,-0.244082,-0.002338,0.556154,0.877782,20260310
UNH,us_stock,USD,0.324696,-0.617202,-0.036638,-0.0935,0.569014,0.527994,0.200193,-0.189492,-0.002529,3966956579618.77,0.324696,-0.617202,-0.036638,-0.0935,0.569014,0.527994,0.200193,-0.189492,-0.002529,-0.379147,-0.791441,20260310
USO,commodity_etf,USD,0.356396,-0.247877,-0.034279,-0.051382,0.519367,0.880906,0.142407,0.069392,-0.000878,1632219016483.3198,0.356396,-0.247877,-0.034279,-0.051382,0.519367,0.880906,0.142407,0.069392,-0.000878,0.508283,1.251716,20260310
V,us_stock,USD,0.235002,-0.15573,-0.023687,-0.040254,0.876747,0.805503,0.480283,-0.329018,0.002397,3785868364476.0254,0.235002,-0.15573,-0.023687,-0.040254,0.876747,0.805503,0.480283,-0.329018,0.002397,-0.048848,-0.313364,20260310
VNQ,etf,USD,0.194963,-0.112439,-0.017037,-0.028654,0.769211,0.78853,0.627328,-0.352357,-0.000385,549114660667.9512,0.194963,-0.112439,-0.017037,-0.028654,0.769211,0.78853,0.627328,-0.352357,-0.000385,0.090756,0.343499,20260310
VTI,etf,USD,0.183584,-0.136095,-0.019902,-0.033237,1.013125,1.007046,0.997496,-0.440824,0.000579,3057691309409.118,0.183584,-0.136095,-0.019902,-0.033237,1.013125,1.007046,0.997496,-0.440824,0.000579,0.23379,0.993306,20260310
VXUS,etf,USD,0.161895,-0.121369,-0.015169,-0.02706,0.739668,0.728188,0.836387,-0.293309,0.000349,1147316061766.0137,0.161895,-0.121369,-0.015169,-0.02706,0.739668,0.728188,0.836387,-0.293309,0.000349,0.32512,1.728274,20260310
XLE,etf,USD,0.275002,-0.199312,-0.025587,-0.044393,0.771612,0.990707,0.334692,0.065978,-0.001269,3815510015425.9995,0.275002,-0.199312,-0.025587,-0.044393,0.771612,0.990707,0.334692,0.065978,-0.001269,0.39249,1.340145,20260310
XLP,etf,USD,0.157432,-0.091776,-0.015537,-0.025828,0.530955,0.541943,0.420663,-0.3389,-0.000975,2475628987820.9033,0.157432,-0.091776,-0.015537,-0.025828,0.530955,0.541943,0.420663,-0.3389,-0.000975,0.099638,0.413228,20260310
XLU,etf,USD,0.185045,-0.079573,-0.017281,-0.026985,0.548867,0.534915,0.457164,-0.291679,-0.000268,1650941766724.0986,0.185045,-0.079573,-0.017281,-0.026985,0.548867,0.534915,0.457164,-0.291679,-0.000268,0.306081,1.588973,20260310
XLV,etf,USD,0.16464,-0.167088,-0.019432,-0.030004,0.650915,0.626168,0.635808,-0.500226,0.000689,2982426082668.6753,0.16464,-0.167088,-0.019432,-0.030004,0.650915,0.626168,0.635808,-0.500226,0.000689,0.081383,0.259836,20260310
XOM,us_stock,USD,0.281643,-0.204821,-0.028289,-0.042178,0.641328,0.830547,0.236604,0.081813,-0.001213,3965150896594.843,0.281643,-0.204821,-0.028289,-0.042178,0.641328,0.830547,0.236604,0.081813,-0.001213,0.486853,1.67948,20260310
XRP-USD,crypto,USD,0.811279,-0.639381,-0.05217,-0.08237,1.17707,0.968058,0.536494,-0.037189,0.006641,7902754097189.252,0.811279,-0.639381,-0.05217,-0.08237,1.17707,0.968058,0.536494,-0.037189,0.006641,-0.327162,-0.555301,20260310
