ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,corr_sp500_60d,corr_kospi200_60d,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,avg_stress_ret_krw,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
EFA,etf,USD,0.167567,-0.127408,-0.015628,-0.027585,0.764659,0.737578,0.831765,-0.357034,0.00087,3353753237577.289,0.167567,-0.127408,-0.015628,-0.027585,0.764659,0.737578,0.831765,-0.357034,0.00087,0.232311,1.139833,20260311
ETH-USD,crypto,USD,0.63278,-0.606647,-0.057294,-0.08163,1.444356,1.432813,0.632663,-0.165675,0.006639,8.999645519154784e+16,0.63278,-0.606647,-0.057294,-0.08163,1.444356,1.432813,0.632663,-0.165675,0.006639,-0.090875,-0.197814,20260311
EWY,etf,USD,0.248387,-0.152832,-0.027616,-0.042877,0.820198,0.812766,0.553482,-0.040387,-0.003603,2865552585355.318,0.248387,-0.152832,-0.027616,-0.042877,0.820198,0.812766,0.553482,-0.040387,-0.003603,1.422444,4.318948,20260311
GLD,gold_etf,USD,0.184038,-0.126908,-0.024507,-0.038779,0.225365,0.258396,0.246325,0.07153,-0.000407,11790667529426.021,0.184038,-0.126908,-0.024507,-0.038779,0.225365,0.258396,0.246325,0.07153,-0.000407,0.802587,2.9109,20260311
GOOGL,us_stock,USD,0.309845,-0.160558,-0.026502,-0.037909,1.174794,1.116531,0.612115,-0.333312,0.000463,15770032022055.588,0.309845,-0.160558,-0.026502,-0.037909,1.174794,1.116531,0.612115,-0.333312,0.000463,0.796224,2.481835,20260311
HD,us_stock,USD,0.244035,-0.171883,-0.02335,-0.034178,0.848152,0.738924,0.462812,-0.270866,-0.000149,2302923549333.4155,0.244035,-0.171883,-0.02335,-0.034178,0.848152,0.738924,0.462812,-0.270866,-0.000149,-0.01645,-0.187968,20260311
HYG,bond_etf,USD,0.109023,-0.066391,-0.010321,-0.017999,0.446983,0.431125,0.803406,-0.620979,0.000296,4867348152429.112,0.109023,-0.066391,-0.010321,-0.017999,0.446983,0.431125,0.803406,-0.620979,0.000296,0.075731,0.41753,20260311
IAU,gold_etf,USD,0.183521,-0.126055,-0.024314,-0.038524,0.224879,0.259401,0.245317,0.069636,-0.000411,2019363794163.3853,0.183521,-0.126055,-0.024314,-0.038524,0.224879,0.259401,0.245317,0.069636,-0.000411,0.804145,2.935596,20260311
IEF,bond_etf,USD,0.114555,-0.096276,-0.008891,-0.017617,0.194678,0.143558,0.642839,-0.594506,4.2e-05,1255579678910.7893,0.114555,-0.096276,-0.008891,-0.017617,0.194678,0.143558,0.642839,-0.594506,4.2e-05,0.070965,0.380203,20260311
ITA,etf,USD,0.210622,-0.160681,-0.02232,-0.035714,0.856041,0.857518,0.717407,-0.184991,0.000838,339102264826.4205,0.210622,-0.160681,-0.02232,-0.035714,0.856041,0.857518,0.717407,-0.184991,0.000838,0.631086,2.424471,20260311
