ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
034020.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.042955,low,-0.042955,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.042955
034020.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.155164,low,0.155164,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=0.155164
034020.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.296101,low,-0.296101,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.296101
034020.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.755471,high,0.755471,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.755471
034020.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.005263,high,-0.005263,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.005263
035420.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.081642,low,-0.081642,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.081642
035420.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.014165,low,0.014165,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=0.014165
035420.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.325358,medium,-0.325358,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.325358
035420.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.631932,high,0.631932,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.631932
035420.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.006767,high,-0.006767,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.006767
035720.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,negative,0.102612,low,-0.102612,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.102612
035720.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.025291,low,-0.025291,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=-0.025291
035720.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.459312,medium,-0.459312,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.459312
035720.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.738983,high,0.738983,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.738983
035720.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.009048,high,-0.009048,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.009048
051910.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.077625,low,-0.077625,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.077625
051910.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.057299,low,-0.057299,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=-0.057299
051910.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.332189,medium,-0.332189,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.332189
051910.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.688437,high,0.688437,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.688437
051910.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.007061,high,-0.007061,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.007061
055550.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.063363,low,-0.063363,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.063363
055550.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.072488,low,-0.072488,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=-0.072488
055550.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.327076,medium,-0.327076,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.327076
055550.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.605396,high,0.605396,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.605396
055550.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.00497,high,-0.00497,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.00497
066570.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.00832,low,-0.00832,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.00832
066570.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.099759,low,0.099759,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=0.099759
066570.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.254559,low,-0.254559,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.254559
066570.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.574431,medium,0.574431,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.574431
066570.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.006067,high,-0.006067,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.006067
068270.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,negative,0.127553,low,-0.127553,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.127553
068270.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,negative,0.1212,low,-0.1212,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=-0.1212
068270.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.295603,low,-0.295603,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.295603
068270.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.655309,high,0.655309,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.655309
068270.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.001792,medium,-0.001792,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.001792
105560.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.043784,low,-0.043784,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.043784
105560.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.038052,low,-0.038052,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=-0.038052
105560.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.217528,low,-0.217528,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.217528
105560.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.663086,high,0.663086,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.663086
