ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,corr_sp500_60d,corr_kospi200_60d,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,avg_stress_ret_krw,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
KO,us_stock,USD,0.180226,-0.127658,-0.015893,-0.025195,0.439144,0.449076,0.299324,-0.284008,-0.001187,1982803610009.3447,0.180226,-0.127658,-0.015893,-0.025195,0.439144,0.449076,0.299324,-0.284008,-0.001187,0.13641,0.559372,20260311T191644822219-60e09191
LQD,bond_etf,USD,0.116852,-0.087536,-0.00999,-0.017466,0.314211,0.259538,0.728772,-0.61499,-0.000323,5433906355455.357,0.116852,-0.087536,-0.00999,-0.017466,0.314211,0.259538,0.728772,-0.61499,-0.000323,0.071882,0.383818,20260311T191644822219-60e09191
MA,us_stock,USD,0.245751,-0.163104,-0.025875,-0.041151,0.943194,0.8635,0.450926,-0.324144,0.00256,2966162318349.2134,0.245751,-0.163104,-0.025875,-0.041151,0.943194,0.8635,0.450926,-0.324144,0.00256,-0.041419,-0.280178,20260311T191644822219-60e09191
META,us_stock,USD,0.434759,-0.24972,-0.03615,-0.054581,1.462456,1.463222,0.415511,-0.254288,-0.002264,14541991178166.998,0.434759,-0.24972,-0.03615,-0.054581,1.462456,1.463222,0.415511,-0.254288,-0.002264,0.061733,0.0798,20260311T191644822219-60e09191
MSFT,us_stock,USD,0.265381,-0.281582,-0.02588,-0.039256,1.100525,1.096526,0.389777,-0.147359,0.001466,21252342661549.227,0.265381,-0.281582,-0.02588,-0.039256,1.100525,1.096526,0.389777,-0.147359,0.001466,0.052467,0.08351,20260311T191644822219-60e09191
NVDA,us_stock,USD,0.516308,-0.230688,-0.03851,-0.055831,1.919334,1.809297,0.670944,-0.230142,0.000537,47446404649872.75,0.516308,-0.230688,-0.03851,-0.055831,1.919334,1.809297,0.670944,-0.230142,0.000537,0.660454,1.481458,20260311T191644822219-60e09191
PFE,us_stock,USD,0.263451,-0.190995,-0.030337,-0.038883,0.498063,0.518839,0.434155,-0.257227,0.000174,1793107716019.5374,0.263451,-0.190995,-0.030337,-0.038883,0.498063,0.518839,0.434155,-0.257227,0.000174,0.10338,0.260369,20260311T191644822219-60e09191
PG,us_stock,USD,0.194909,-0.201738,-0.020302,-0.031851,0.436426,0.467441,0.188112,-0.343908,-0.001922,2436886053145.7095,0.194909,-0.201738,-0.020302,-0.031851,0.436426,0.467441,0.188112,-0.343908,-0.001922,-0.077678,-0.511673,20260311T191644822219-60e09191
PPA,etf,USD,0.195065,-0.139894,-0.020917,-0.033685,0.84401,0.830992,0.726118,-0.184201,0.000589,74516540607.35666,0.195065,-0.139894,-0.020917,-0.033685,0.84401,0.830992,0.726118,-0.184201,0.000589,0.569775,2.315192,20260311T191644822219-60e09191
QQQ,etf,USD,0.229579,-0.152563,-0.021462,-0.036458,1.203958,1.191276,0.954873,-0.458101,0.000471,54304596760002.58,0.229579,-0.152563,-0.021462,-0.036458,1.203958,1.191276,0.954873,-0.458101,0.000471,0.257531,0.947064,20260311T191644822219-60e09191
